Right,Wrong 
Weyl Invariant Spacetime,Condensates in Our Solar System
Anomalies and Renormalization of BFYM Theory,The Naturalness Problem
"Comment on ""Confirmation of the Sigma Meson""",Some Little-known Examples of Dimensionality in Invertible QED_3 Living on the NUT of Symmetric Spaces Are Inertial
Leptoproduction of Charm Revisited,Large-scale Inflation at the Edge of Our Universe
"""Alternative $N=(4,0)$ Superstring and $S$-Models""",Some General Investigations of Black Holes
"Structure of the $(0^+,1^+)$ Mesons $B_{s0}$ and $B_{s1}$, and the Strong Coupling Constants $G_{B_{s0} B K}$ and $G_{B_{s1} B^* K}$","The QCD_3/GR Correspondence as Ext^9(\mathbb{H},\C) Characters in QED_3 Deformed by Bounded Operators"
Conformal Dimensions of Two-Derivative BMN Operators,Analyzing Chiral Operators in Models of Charginos
On the Unification of Gauge Symmetries in Theories With Dynamical Symmetry Breaking,Some General Cases of Exploring Type I Strings
Supergravity Solutions Without Tri-holomorphic U(1) Isometries,Models of Tensor Networks in Anomaly Matching
Weak Annihilation and the Effective Parameters A_1 and A_2 in Nonleptonic D Decays,Towards Nontrivial Structure on \Z Quotients of S^m Bundles Over N Copies of P^7
N=1 Matter From Fractional Branes,A Fractional D9 Brane Wrapping a S^n at the Weak Scale as a Check of the Anomaly Inflow Mechanism in Type IIB Strings Supported on Symmetric Spaces With Diffeomorphism Symmetric Flux From Orientifold Planes
"Aspects of the D=6, (2,0) Tensor Multiplet",A Measurement of Holographic-duality in the Schwartzian Theory and Quasimodular Forms in Topologically Twisted N=m Supergravity Near Instantons
Strings and Loops in Event Symmetric Space-Time,Solving Some Specific Frameworks of Integrable Hierarchies on an Affine Bundle Over C^n: Representation Theory on the Near Horizon Geometry of R^2
Charmed Strange Pentaquarks in the Large $N_c$ Limit,Dimensionality
A Model of Mesons Based on $Chi$SB in the Light-Front Frame,Possible Approaches to the SUSY CP Problem
Projections of Virasoro Singular Vectors,Towards a Hyperplane Defect on the Surface of the Sun
Anti-de Sitter Supersymmetry,The Broken Spontaneously-broken Virosoro Invariant Formulation of Models of Instanton Gas via an Instanton (Taking Into Account Holomorphic Branes Wrapping an AdS_7 at the Edge of Our Universe)
Simplicial Aspects of String Dualities,A Probe of Vanishing Sheaf Cohomology
Multi-jet Production in Hadron Collisions,Geometric Langlands-duality in a Scalar Field Model of Noncommutative Branes and Duality on AdS_m
The Gaugings of Maximal D=6 Supergravity,The Supergravity/BF Theory Correspondence
Induced Commutative Chern-Simons Term From Noncommutativity in Planar Systems,Long-lived Kk Gravitons
Testing the Correctness of the Poynting Vector Vec E Imesvec B as the Momentum Density of Gauge Fields,Comments on 7-dimensional Black Branes
Dynamical Screening Away From Equilibrium: Hard Photon Production and Collisional Energy Loss,A Probe of the Extension of Central Charges in Models of Higgses vs Line Defects
Neutrino Spin-Flavor Conversions and Electron Antineutrino Emission From the Sun With Random Magnetic Field,Inconsistent Models of Non-isocurvature Fluctuations Revisited
Wilson-'t Hooft Operators and the Theta Angle,Pions Are Nonstandard
Compact Extra-dimensions as Solution to the Strong CP Problem,From Random Tensors in Consistent Models of Condensates to Unitarity on Ricci-flat Enriques Surfaces
$B Ightarrow S Gamma$ AND $B Ightarrow S G$: A THEORETICAL REAPPRAISAL,"(P,q) Instantons Deduced via Representations"
Real or Imaginary? (On Pair Creation in De Sitter Space),PDFs
A Holographic Framework for Eternal Inflation,A Certain Notion of Chaos Minimizes the Compactification of Type-1 Factors in Topological String Theory Deformed by 'T Hooft Lines
Search for Evidence of Two Photon Contribution in Elastic Electron Proton Data,Towards N=4-duality in String Theory on T^n
Scalar and Pseudoscalar Meson Pole Terms in the Hadronic Light-by-light Contributions to $A_mu^{had}$,Non-chiral Operators in Unparticle Physics and Some General Frameworks of Models of Soft Axions
A New Dirac-type Equation for Tachyonic Neutrinos,Some General Cases of Twisted Matrix Models on Rational Surfaces With Abelian Metric Using the Boundary-dual of Non-high-scale Models of Instanton Gas
Symmetry Aspects of Fermions Coupled to Torsion and Electromagnetic Fields,Gromov-Witten Invariants in Conformal Matrix Models vs a Solution to the Strong CP Problem
Realization of $W_{1+infty}$ and Virasoro Algebras in Supersymmetric Theories on Four Manifolds,Index Theorems in a N+1-dimensional CFT on P^m
Baryon QCD Sum Rules in an External Isovector-scalar Field and Baryon Isospin Mass Splittings,Disturbing Implications of the Thermofield Double
Method of Characteristics and Solution of DGLAP Evolution Equation in Leading Order (LO) and Next to Leading Order (NLO) at Small-x,The Boundary-dual of Models of Dark Matter
Reanalysis of CP Violation in K_L -> Pi^+ Pi^- Gamma,A Certain Notion of Sheaf Cohomology via E_8 Events in Models of B-mesons
"From Type IIA Black Holes to T-dual Type IIB D-Instantons in N=2, D=4 Supergravity",Equivariant Index Theorems in an Extension of Planck-Denef Points in Type IIB Strings Dimensionally Reduced on Calabi-Yau 7-folds With Conformal Symmetric Principal Bundle Fibered Over Exotic Taub-NUT Space
Particle Physics-Future Directions,Gopakumar-Vafa Invariants on the Near Horizon Geometry of AdS_m as a Certain Notion of Semidefinite Programming
Generalised Point Interactions for the Radial Schrodinger Equation via Unitary Dilations,First-order Inflation in Feynman Diagrams on S^m
Two Loop Divergences Studied With One Loop Constrained Differential Renormalization,Some Novel Cases of the Solution of General Relativity With a Chiral Operator Living on AdS_n
About Earlier History of Two--photon Physics,Mathematica School Lectures on Heterotic String Theory Deformed by Hypersurface Operators
Bottom Production,"A Bound on the S-matrix, the Compactification of Lorentz-Aranov-Bohm Gravity, and Non-abelian Anomaly Matching"
Phenomenology of Very High Multiplicity Hadron Processes,Equivariant Flow Equations Using Heterotic String Theory
Baryon Asymmetry From Hypermagnetic Helicity in Dilaton Hypercharge Electromagnetism,Special Lagrangian Branes at CDMS
"Binding Energies and Dissociations of $J/psi$, $Upsilon$, and Toponium in Quark-Gluon Plasma",Reconstructing a Test of Clebsch-Gordon Decomposition via Duality in Chiral Matrix Models Far From a D1 Instanton: A Holomorphic Conjecture
Large Extra Dimensions and Holography,Clarifying Causality Constraints: The Cosmological Constant Problem
Generalized Misner-Sharp Quasi-local Mass in Einstein-Gauss-Bonnet Gravity,Examining the Hamiltonian: The U-dual of Models of Bubble Nucleation
AdS/CFT Duality for Non-Anticommutative Supersymmetric Gauge Theory,The Reduction of Models of Entanglement of Purification Predicts Instanton Gas at M Loops
M-Theory Phenomenology and See-Saw Mechanisms,Line Bundles in Heterotic String Theory Deformed by Weight-shifting F-terms Using Unparticle Physics Dimensionally Reduced on the Boundary of S^8 X P^5
Real Photons From Nonequilibrium QGP,QED_3 Deformed by Chern-Simons Terms
A Mixing-independent Construction of the Unitarity Triangle,Towards M-dimensional Black Holes at the Center of the Galaxy
Neutrino Mass and Low-scale Leptogenesis in a Testable SUSY SO(10) Model,A Holomorphic Brane Wrapped on a Calabi-Yau 5-fold After Reheating and a Model for Instanton Gas
The Pomeron Intercept in Gluodynamics,TASI Lectures on Schwarzschild Black Branes Formed From Collapse at the Edge of Our Universe
Precise Estimates of High Orders in QCD,Investigating Nonvanishing Semidefinite Programming: A Warped Formalism
A Heavy Top Quark From Flavor-Universal Colorons,Instantons in the Interstellar Medium Using Dark Matter to All Orders
The Immirzi Parameter as an Instanton Angle,"Abelian Structures in Heterotic String Theory Surrounded by a (P,q) 7- Brane Wrapping a C^1"
Medley in Finite Temperature Field Theory,A Model of Condensates
One-Loop Effective Action on Rotational Spacetime: Zeta-Function Regularization and Schwinger Perturbative Expansion,The 4 Faces of the Silverstein-Poincare Equation
Polynomial Form Factors in the O(3) Nonlinear Sigma-Model,"Some General Investigations of a Probe of U-duality in Type IIA on H_n(C^m,\mathbb{H}) Bundles Over Moduli Spaces of Enriques Surfaces of SU(n) Holonomy via a Geometric Langlands-dual of Conformal Matrix Models on N Copies of S^2 vs Observables"
Applying Optimized Perturbation Theory to QCD at Low Energies,On Soft Theorems in Models of Entropy
Vacuum Quantum Effect for Curved Boundaries in Static Robertson--Walker Spacetime,Abelian Equivariant Structure Implements a Test of a Noncommutative Instanton at Future Colliders via Effects of the Partition Function in Topological String Theory
Cosmic Superstrings and Primordial Magnetogenesis,NS5 Branes on the Surface of the Sun
Heavy Quarks in Non-relativistic Lattice QCD,Exploring Topological Strings Deformed by Wilson Lines and Translation Symmetric Structure
D3 Instantons in Calabi-Yau Orientifolds With(out) Fluxes,Towards Instanton Gas at the Intermediate Scale
Unparticle Physics at the Photon Collider,"Constructing Some General Computations of H^m(P^n,\mathbb{H}) Characters on AdS_6: An Entropic Formalism"
Asymmetrically Warped Compactifications and Gravitational Lorentz Violation,Soft Theorems in String Theory Far From an Orientifold Plane From the Compactification of Semidefinite Programming in M-Theory on R^2
S-matrix Approach to Two-pion Production in E^+e^- Annihilation and Tau Decay,Instanton Liquids at SNO and Condensates in the Early Universe
Azimuthal Asymmetries in DIS as a Probe of Intrinsic Charm Content of the Proton,Progress in Gromov-Witten Invariants on Noncommutative ALE Fibrations
"Brane Dynamics, the Polytropic Gas and Conformal Bulk Fields",Models of High-energy Ghosts
Constraints on Quartic Vector-Boson Interactions From Z Physics,Comments on the Entanglement Entropy of S^m X S^1
A Simple BRST System With Quadratically Constrained Ghosts,On A-type Branes
Noncommutative Geometry as the Key to Unlock the Secrets of Space-Time,On Charginos
A Closed Expression for the Universal R-Matrix in a Non-Standard Quantum Double,Gravitational-duality in Models of Hadrons Predicted From Metrics
Negative Dimensional Integration for Massive Four Point Functions--II: New Solutions,Soft Heavy Ions
Confining Strings at High Temperature,On the Holographic-dual of Boundary Inflation
Lightest Scalar in the SU_L(2)*SU_R(2) Linear Sigma Model,Constructing Tensor Networks at the Center of the Galaxy
Nuclear Physics From QCD,Exploring the Supergravity/unparticle Physics Correspondence: An Unified Procedure
Anyonic FRT Construction,Towards Noncommutative Brane Black Branes Formed From Collapse at the GUT Scale
Single Leptoquark Production,Path Integrals on Hyper-Kahler Superspace
Topics on Heavy Baryon Chiral Perturbation Theory in the Large N_c Limit,From F_4 Singularities to Discrete Representation Theory
Chiral Lagrangians at Finite Density,The Analytic Continuation of QCD (Including Currents in Bosonic Strings ) and the Omega Deformation
"The 2-3 Symmetry: Flavour Changing $B$, $ Au$ Decays and Neutrino Mixing",Metastable Approaches to the Cosmological Constant Problem
Solitonic D-5 Brane and Vortex on the World-Sheet,Anomaly Matching on SO(m) Bundles Over K3s (Taking Into Account Schwinger-Lagrange Singularities in Our Solar System) Obtained Using Charges
Hidden Symmetry of the Racah and Clebsch-Gordan Problems for the Quantum Algebra Sl_q(2),Index Theorems on CY_m
"Phases of QCD, Thermal Quasiparticles and Dilepton Radiation From a Fireball",TASI Lectures on a Line Defect
QCD Predictions for the Tau Hadronic Width: Determination of Alpha_s(M_ Au^2),"Bounding Feynman Diagrams on the Boundary of Moduli Spaces of H_n(S^m,\Z) Orbifolds of Moduli Spaces of Noncommutative Klebanov-Strassler Backgrounds: A Gauge Mediated Procedure"
An Orbifold Compactification With Three Families From Twisted Sectors,Non-abelian Index Theorems and Some Little-known Investigations of Abelian Integrable Hierarchies
Recombination of Shower Partons in Fragmentation Processes,The Solution of QED_3 With a Singlet N-form
On the Role of Hard Rescattering in Exclusive Diffractive Higgs Production,Dions Found Using Line Operators
Singular Behavior of ^1P_1^{+-} Quarkonium and Positronium Annihilation Decays and Relevance of Relative Energy,Models of Dark Matter Derived From Modular Forms
The Lambda-Measure and the Generalised Dipoles in the Lund Model,The Compactification of a Model for Flavor
Evolution of the Chern-Simons Vortices,"An Unexpected Solution of String Theories on Moduli Spaces of ALF Spaces With Equivariant Spin Structure Fibered Over Symmetric Spaces of Ext^n(\Z,\Q) Holonomy From Firewalls in GR and Boundary-duality in Models of Pions"
"BPS Black Holes in Gauged N=4, D=4 Supergravity",Extending a Test of the Solution of Topological Strings Deformed by Hypersurface Operators Using Some General Paradigms of Non-abelian Charges
Casimir Energy of a Spherical Shell in $Kappa-$Minkowski Spacetime,A Numerical Check of Unitarity in String Theory Deformed by Nonlocal Operators
Resolution to the B -> Pi K Puzzle,Towards Cosmic Rays in the Early Universe
Effective Heavy Quark Theory,A Certain Notion of Semidefinite Programming
